Дата;День;Время;Тип;Дисциплина;Адрес;Аудитория (или URL);Преподаватель;Кафедра
02.09.2026;СР;08:30 - 10:00;Л;История русского языка;Советский, 8;702;Мельникова Наталия Георгиевна;-
02.09.2026;СР;10:10 - 11:40;П;Иностранный язык в профессиональной сфере (англ);Советский, 8;830;Миронова Эльвира Геннадьевна;-
02.09.2026;СР;13:30 - 15:00;Л;Литературоведческий анализ текста;Советский, 8;702;Трубицына Мария Юрьевна;-
02.09.2026;СР;15:10 - 16:40;Л;Спецкурсы и курсовое проектирование по русскому языку;Советский, 8;702;Воробьева Татьяна Алексеевна;-
02.09.2026;СР;18:00 - 19:30;П;Иностранный язык в профессиональной сфере (нем);Советский, 8;703;Торохова Галина Захаровна;-
02.09.2026;СР;19:40 - 21:10;П;Иностранный язык в профессиональной сфере (нем);Советский, 8;703;Торохова Галина Захаровна;-
03.09.2026;ЧТ;08:30 - 10:00;П;Экономика продукта проекта. Модели монетизации;Победы, 12;406;Варзунова Вера Васильевна;-
03.09.2026;ЧТ;10:10 - 11:40;П;Экономика продукта проекта. Модели монетизации;Победы, 12;406;Варзунова Вера Васильевна;-
03.09.2026;ЧТ;13:30 - 15:00;П;Дизайн-мышление. Методология работы с клиентом;Советский, 10;203;Крылова Наталья Павловна;-
03.09.2026;ЧТ;13:30 - 15:00;П;Лидерство и управление командой;Советский, 8;713;Балюшина Юлия Львовна;-
03.09.2026;ЧТ;13:30 - 15:00;П;Системное мышление в проекте;Советский, 8;719;Медведева Ирина Николаевна;-
03.09.2026;ЧТ;15:10 - 16:40;П;Дизайн-мышление. Методология работы с клиентом;Советский, 10;203;Крылова Наталья Павловна;-
03.09.2026;ЧТ;15:10 - 16:40;П;Лидерство и управление командой;Советский, 8;713;Балюшина Юлия Львовна;-
03.09.2026;ЧТ;15:10 - 16:40;П;Системное мышление в проекте;Советский, 8;719;Медведева Ирина Николаевна;-
04.09.2026;ПТ;10:10 - 11:40;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Дивеева Алина Альбертовна;-
04.09.2026;ПТ;11:50 - 13:20;Л;История зарубежной литературы;Советский, 8;702;Соловьева Елена Евгеньевна;-
04.09.2026;ПТ;13:30 - 15:00;Л;Лингвистический анализ текста;Советский, 8;702;Соловьева Светлана Александровна;-
04.09.2026;ПТ;15:55 - 17:25;П;Физическая культура и спорт (элективная дисциплина);Труда, 3;спортивный комплекс №1;Ломакина Татьяна Анатольевна; Прядехина Мария Сергеевна; Подоляка Олег Борисович;-
05.09.2026;СБ;08:30 - 10:00;ИКР;Проектирование в профессиональной сфере;Советский, 8;702;Неклюдова Евгения Александровна;-
05.09.2026;СБ;10:10 - 11:40;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Дивеева Алина Альбертовна;-
05.09.2026;СБ;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Ерохина Екатерина Андреевна;-
07.09.2026;ПН;08:30 - 10:00;Л;История русской литературы;Советский, 8;702;Ерохина Екатерина Андреевна;-
07.09.2026;ПН;10:10 - 11:40;Л;История русской литературы;Советский, 8;702;Ерохина Екатерина Андреевна;-
07.09.2026;ПН;13:30 - 15:00;Л;Современный русский язык;Советский, 8;802;Воробьева Татьяна Алексеевна;-
07.09.2026;ПН;15:10 - 16:40;Л;Современный русский язык;Советский, 8;802;Воробьева Татьяна Алексеевна;-
07.09.2026;ПН;16:50 - 18:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Соловьева Светлана Александровна;-
07.09.2026;ПН;16:50 - 18:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Дивеева Алина Альбертовна;-
08.09.2026;ВТ;09:15 - 10:45;П;Физическая культура и спорт (элективная дисциплина);Труда, 3;спортивный комплекс №1;Ломакина Татьяна Анатольевна; Прядехина Мария Сергеевна; Подоляка Олег Борисович;-
08.09.2026;ВТ;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Неклюдова Евгения Александровна;-
08.09.2026;ВТ;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Ерохина Екатерина Андреевна;-
08.09.2026;ВТ;13:30 - 15:00;Л;История зарубежной литературы;Советский, 8;702;Соловьева Елена Евгеньевна;-
08.09.2026;ВТ;15:10 - 16:40;Л;История русского языка;Советский, 8;802;Мельникова Наталия Георгиевна;-
08.09.2026;ВТ;16:50 - 18:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Соловьева Светлана Александровна;-
09.09.2026;СР;08:30 - 10:00;П;История русского языка;Советский, 8;802;Мельникова Наталия Георгиевна;-
09.09.2026;СР;10:10 - 11:40;П;Иностранный язык в профессиональной сфере (англ);Советский, 8;830;Миронова Эльвира Геннадьевна;-
09.09.2026;СР;13:30 - 15:00;Л;Литературоведческий анализ текста;Советский, 8;702;Трубицына Мария Юрьевна;-
09.09.2026;СР;15:10 - 16:40;Л;Спецкурсы и курсовое проектирование по русскому языку;Советский, 8;702;Воробьева Татьяна Алексеевна;-
09.09.2026;СР;18:00 - 19:30;П;Иностранный язык в профессиональной сфере (нем);Советский, 8;703;Торохова Галина Захаровна;-
09.09.2026;СР;19:40 - 21:10;П;Иностранный язык в профессиональной сфере (нем);Советский, 8;703;Торохова Галина Захаровна;-
10.09.2026;ЧТ;08:30 - 10:00;П;Экономика продукта проекта. Модели монетизации;Победы, 12;406;Варзунова Вера Васильевна;-
10.09.2026;ЧТ;10:10 - 11:40;П;Экономика продукта проекта. Модели монетизации;Победы, 12;406;Варзунова Вера Васильевна;-
10.09.2026;ЧТ;13:30 - 15:00;П;Дизайн-мышление. Методология работы с клиентом;Советский, 10;203;Крылова Наталья Павловна;-
10.09.2026;ЧТ;13:30 - 15:00;П;Лидерство и управление командой;Советский, 8;713;Балюшина Юлия Львовна;-
10.09.2026;ЧТ;13:30 - 15:00;П;Системное мышление в проекте;Советский, 8;719;Медведева Ирина Николаевна;-
10.09.2026;ЧТ;15:10 - 16:40;П;Дизайн-мышление. Методология работы с клиентом;Советский, 10;203;Крылова Наталья Павловна;-
10.09.2026;ЧТ;15:10 - 16:40;П;Лидерство и управление командой;Советский, 8;713;Балюшина Юлия Львовна;-
10.09.2026;ЧТ;15:10 - 16:40;П;Системное мышление в проекте;Советский, 8;719;Медведева Ирина Николаевна;-
11.09.2026;ПТ;08:30 - 10:00;П;Дизайн-мышление. Методология работы с клиентом;Советский, 10;203;Крылова Наталья Павловна;-
11.09.2026;ПТ;08:30 - 10:00;П;Лидерство и управление командой;Советский, 8;713;Балюшина Юлия Львовна;-
11.09.2026;ПТ;08:30 - 10:00;П;Системное мышление в проекте;Советский, 8;606;Медведева Ирина Николаевна;-
11.09.2026;ПТ;10:10 - 11:40;П;Дизайн-мышление. Методология работы с клиентом;Советский, 10;203;Крылова Наталья Павловна;-
11.09.2026;ПТ;10:10 - 11:40;П;Лидерство и управление командой;Советский, 8;713;Балюшина Юлия Львовна;-
11.09.2026;ПТ;10:10 - 11:40;П;Системное мышление в проекте;Советский, 8;606;Медведева Ирина Николаевна;-
11.09.2026;ПТ;11:50 - 13:20;П;Экономика продукта проекта. Модели монетизации;Победы, 12;406;Варзунова Вера Васильевна;-
11.09.2026;ПТ;13:30 - 15:00;П;Экономика продукта проекта. Модели монетизации;Победы, 12;406;Варзунова Вера Васильевна;-
11.09.2026;ПТ;15:55 - 17:25;П;Физическая культура и спорт (элективная дисциплина);Труда, 3;спортивный комплекс №1;Ломакина Татьяна Анатольевна; Прядехина Мария Сергеевна; Подоляка Олег Борисович;-
12.09.2026;СБ;08:30 - 10:00;ИКР;Проектирование в профессиональной сфере;Советский, 8;702;Неклюдова Евгения Александровна;-
12.09.2026;СБ;10:10 - 11:40;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Дивеева Алина Альбертовна;-
12.09.2026;СБ;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Ерохина Екатерина Андреевна;-
14.09.2026;ПН;08:30 - 10:00;Л;История русской литературы;Советский, 8;702;Ерохина Екатерина Андреевна;-
